,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
9841,1.2153728000000004,1.2153728000000004,1.2153728000000004,1.2153728000000004,1.2153728000000004,1.2153728000000004,1.2153728000000004,1.2153728000000004,1.2153728000000004
9112,-33.50560000000001,-33.50560000000001,,-33.50560000000001,-2.769216,-33.50560000000001,-33.50560000000001,-33.50560000000001,-33.50560000000001
15673,,-33.50560000000001,,2.21152,2.21152,40.632000000000005,40.632000000000005,2.21152,40.632000000000005
15672,,-81.0,,-81.0,-81.0,-52.04,-81.0,-81.0,
15681,,-81.0,,3.7680000000000007,-81.0,100.0,,-81.0,
13494,,,,100.0,-81.0,-5.960000000000001,,-81.0,
13521,,,,6.2,-81.0,,,-81.0,
13440,,,,100.0,,,,-9.0,
9355,40.632000000000005,-33.50560000000001,,,40.632000000000005,2.21152,2.21152,2.21152,40.632000000000005
2794,,-52.04,,,-81.0,-81.0,-81.0,-81.0,-81.0
2803,,100.0,,,63.8,63.8,,40.632000000000005,63.8
2800,,-52.04,,,-81.0,-81.0,,,-81.0
4987,,,,,6.2,6.2,,,63.8
4986,,,,,-81.0,-81.0,,,
5013,,,,,100.0,,,,
7654,-2.769216,,-2.769216,-33.50560000000001,-2.769216,-33.50560000000001,-33.50560000000001,-2.769216,-33.50560000000001
7735,2.21152,,2.21152,2.21152,,2.21152,2.21152,-33.50560000000001,2.21152
7006,-4.0144,,,-81.0,,-81.0,-81.0,-81.0,-81.0
7007,100.0,,,-81.0,,-81.0,-81.0,-81.0,
9354,-81.0,-81.0,,,-81.0,-52.04,-81.0,-81.0,
9357,63.8,63.8,,,63.8,100.0,63.8,,
9840,-33.50560000000001,-33.50560000000001,-33.50560000000001,-33.50560000000001,-2.769216,-33.50560000000001,-33.50560000000001,-33.50560000000001,
9843,2.21152,2.21152,40.632000000000005,2.21152,40.632000000000005,40.632000000000005,2.21152,,
7656,-4.0144,,-4.0144,-52.04,-52.04,-52.04,-52.04,,
7683,63.8,,3.7680000000000007,3.7680000000000007,3.7680000000000007,,3.7680000000000007,,
7602,-5.960000000000001,,-81.0,-81.0,,,-81.0,,
7845,100.0,,63.8,,,,63.8,,
9121,40.632000000000005,-33.50560000000001,,2.21152,2.21152,-33.50560000000001,,2.21152,40.632000000000005
9094,-81.0,-81.0,,-81.0,-81.0,,,-81.0,40.632000000000005
11281,3.7680000000000007,,,63.8,63.8,,,3.7680000000000007,100.0
11278,-81.0,,,-81.0,-81.0,,,,-5.960000000000001
11521,6.2,,,,-81.0,,,,100.0
4960,,,,,-81.0,,,,-9.0
4961,,,,,10.0,,,,
2821,,100.0,,,63.8,,-81.0,-81.0,-81.0
9760,-2.769216,-33.50560000000001,-2.769216,-33.50560000000001,,-33.50560000000001,-2.769216,-33.50560000000001,-2.769216
16321,,2.21152,2.21152,2.21152,,2.21152,2.21152,2.21152,2.21152
15592,,-81.0,,-81.0,,-81.0,-4.0144,-81.0,-81.0
15835,,-81.0,,,,-81.0,100.0,-81.0,-81.0
13648,,,,,,-81.0,100.0,-81.0,-81.0
7657,2.21152,,2.21152,2.21152,2.21152,2.21152,2.21152,,2.21152
7414,-4.0144,,-4.0144,,-52.04,-52.04,-33.50560000000001,,-33.50560000000001
7423,-81.0,,-81.0,,-81.0,-81.0,,,40.632000000000005
7422,-52.04,,-52.04,,-52.04,-52.04,,,
8151,-81.0,,,,63.8,-81.0,,,
8124,-81.0,,,,100.0,,,,
7655,-33.50560000000001,,40.632000000000005,-33.50560000000001,2.21152,-33.50560000000001,2.21152,-33.50560000000001,
